Reading 1 X,Reading 1 Y,Slope (m),Intercept (c),Reading 2 X,Reading 2 Y,Slope (m),Intercept (c),Reading 3 X,Reading 3 Y,Slope (m),Intercept (c),Reading 4 X,Reading 4 Y,Slope (m),Intercept (c),Reading 5 X,Reading 5 Y,Slope (m),Intercept (c),Reading 6 X,Reading 6 Y,Slope (m),Intercept (c),Reading 7 X,Reading 7 Y,Slope (m),Intercept (c),Reading 8 X,Reading 8 Y,Slope (m),Intercept (c)
12161.666666666666,0.0,0,0,14430.666666666666,0.0,0,0,15415.333333333334,0.0,0,0,12452.666666666666,0.0,0,0,15209.333333333334,0.0,0,0,703.6666666666666,0.0,0,0,-157.33333333333334,0.0,0,0,162.33333333333334,0.0,0,0
12157.333333333334,0.0,0.0,0.0,14393.333333333334,0.0,0.0,0.0,15423.666666666666,0.0,0.0,0.0,12434.333333333334,0.0,0.0,0.0,15207.666666666666,0.0,0.0,0.0,700.0,0.0,0.0,0.0,-157.33333333333334,0.0,0.0,0.0,153.66666666666666,0.0,0.0,0.0
12207.0,0.0,0.0,0.0,14377.666666666666,0.0,0.0,0.0,15431.333333333334,0.0,0.0,0.0,12426.333333333334,0.0,0.0,0.0,15205.666666666666,0.0,0.0,0.0,708.3333333333334,0.0,0.0,0.0,-157.33333333333334,0.0,0.0,0.0,149.33333333333334,0.0,0.0,0.0
42757.666666666664,291.0,0.009515276971575289,-115.85151191384611,55347.0,291.0,0.00710683579036016,-102.34229783973491,56518.666666666664,291.0,0.007081114417677104,-109.215167469653,49966.333333333336,291.0,0.007754092724073516,-96.44365706489036,54945.0,291.0,0.007323067761706095,-111.36595940916787,711.3333333333334,291.0,21.276957163958812,-14945.235598227597,-168.0,291.0,-27.28124999999994,-4292.24999999999,170.0,291.0,12.798905908096238,-1960.1428884026197
42416.333333333336,287.0,0.009503035328955,-115.70387990676473,54727.0,287.0,0.007111773328452926,-102.41235962016827,55751.0,287.0,0.007098470544549972,-109.47830402659052,49442.333333333336,287.0,0.007754930928335726,-96.45393327678335,54258.666666666664,287.0,0.007335900107169761,-111.55810305854027,712.6666666666666,287.0,24.620607974733197,-17296.09395973131,-129.0,287.0,3.4952388385888242,653.1677333749612,167.66666666666666,287.0,15.059645918223945,-2302.979134466765
43874.333333333336,298.0,0.009466149708009453,-115.22523785619883,56447.666666666664,298.0,0.00710303862781853,-102.27882297025458,57353.333333333336,298.0,0.00710148052235026,-109.5270502619899,50928.333333333336,298.0,0.007750393797689054,-96.39399660015847,55824.0,298.0,0.0073362383151922995,-111.56350775133825,710.3333333333334,298.0,26.89648826867031,-18889.242447477274,-137.66666666666666,298.0,5.077010858288956,913.1927519192202,147.0,298.0,5.731459612659405,-761.4811053377392
31660.333333333332,206.0,0.009518150352514871,-113.61560172306955,41750.666666666664,206.0,0.007129551814195069,-101.5567018461272,42626.0,206.0,0.007129829678330565,-108.74268788889029,37520.666666666664,206.0,0.0077790804937960655,-95.66047626693617,41616.0,206.0,0.0073645663719484715,-110.83316503448704,700.6666666666666,206.0,17.653846153846192,-12321.653846153878,-159.33333333333334,206.0,4.441877794336806,831.0059612518618,160.66666666666666,206.0,5.927736202057971,-785.9627154884362
8717.0,0.0,0.009223908121436003,-102.20990634874353,14633.666666666666,0.0,0.0071469429955466745,-102.48204054307539,15361.0,0.0,0.007134757492151903,-109.00872002538242,12522.333333333334,0.0,0.0077911188224956745,-96.23712541438387,15195.333333333334,0.0,0.007371576155862471,-111.20175557590461,703.6666666666666,0.0,19.220207253886077,-13440.62305699486,-126.0,0.0,0.842007434944249,260.70910780669317,153.0,0.0,7.119814523474392,-989.3840357704753
8738.333333333334,0.0,0.009063040338177454,-95.97157002259081,14602.0,0.0,0.007156433028147975,-102.98665887263797,15490.0,0.0,0.0071423876350914205,-109.42167675136476,12534.0,0.0,0.0077989464857626,-96.61217577130533,15273.333333333334,0.0,0.007378827468692393,-111.58364270674917,-1736243.3333333333,0.0,7.786761944079532e-05,135.19523679722565,-140.0,0.0,0.20916923076923583,151.17926837606913,157.33333333333334,0.0,7.2641218005295825,-1026.701897616948
8863.666666666666,0.0,0.008968532559651129,-92.29483383293949,14660.0,0.0,0.007164557661439577,-103.41930082735216,15593.0,0.0,0.0071505921952992185,-109.86684311857685,12631.666666666666,0.0,0.00780768627288473,-97.0320606004206,15310.0,0.0,0.0073848785417871265,-111.90261249869452,706.3333333333334,0.0,6.921578316076507e-05,120.17354373407709,-167.0,0.0,1.142228318408689,279.42002492946244,163.0,0.0,5.890842398178614,-824.9094358714923
